,f1,f2,f3,f4,f5,target
4,,,,,2,2
7,16,3,1,1,,1
8,17,2,1,1,2,1
9,16,3,1,1,2,1
10,15,3,1,1,,2
11,15,4,1,1,,2
14,14,3,2,2,2,2
14,14,3,2,2,2,2
15,,,,,2,2
16,15,3,2,2,,2
17,10,2,1,1,3,2
18,,,,,4,2
19,14,3,2,2,3,2
20,12,3,1,1,2,2
21,13,3,1,1,3,2
22,,,,,2,2
23,,,,,3,2
25,,,,,2,2
27,14,3,2,2,3,2
29,,,,,3,2
29,,,,,2,2
30,,,,,3,2
31,14,4,1,1,,2
32,15,4,1,1,3,2
32,15,4,1,1,3,2
33,,,,,4,2
34,14,3,1,1,4,2
35,15,4,2,2,2,2
36,15,4,2,2,3,2
38,,,,,2,2
39,12,4,2,2,,2
40,13,3,2,2,,2
41,15,4,2,2,,2
42,14,4,2,2,5,2
45,12,2,2,2,2,2
46,14,3,2,2,,2
48,15,2,1,1,,2
49,14,3,2,2,3,2
50,13,3,2,2,4,2
51,11,3,2,2,,2
52,,,,,,2
54,11,3,1,1,3,2
55,14,4,2,3,,2
57,,,,,3,2
58,,,,,2,2
59,11,3,2,2,4,2
60,12,3,3,3,,2
62,14,3,2,3,,2
63,15,3,2,2,,2
65,,,,,3,2
66,,,,,4,2
67,14,3,2,2,,2
68,14,4,2,2,,2
71,10,3,1,1,,2
72,13,2,1,1,,2
74,14,2,2,2,,2
75,14,3,2,2,,2
76,11,3,2,2,,2
77,,,,,2,2
80,10,3,3,3,,2
81,15,2,,,,2
